lc_time,T_in1,T_in2,T_wall_in,T_wall_out,T_outside,T_outside_PT,T_chamber,T_chamber1,T_leaf1,T_leaf2,T_leaf_in,Wind,T_dew,Air_inflow,Air_outflow,nr_time,T_leaf_IR,V_leaf_IR,Rn_above_leaf,Rn_below_leaf,Rn_beside_leaf,RnV_above_leaf,RnV_below_leaf,RnV_beside_leaf,sens_timefirst,sens_timelast,water_flow_avg,water_flow_std,water_flow_n,pow_timefirst,pow_timelast,fan_power_avg,fan_power_std,fan_power_n,Comment...................................................,P_w_in,g_twmeas,lin_T_l,Hl_ball,MU_H_l,MUc_E_l,Le,C_wa,Re,T_in,F_in_mola,D_va,PS_H_l,a_sh,epsilon_l,epsilon,h_c,rb_ball,c_pa,P_a,Elmeas,nu_a,T_a,alpha_l,Re_c,T_r,lambda_E,T_w,g_tw,Elmolmeas,P_r,Rn_leaf,Tl_ball,F_in_v,H_l,MU_E_l,T0,rbstar_ball,GP_T_l,C_wl,R_s,Hlmeas,MUc_H_l,g,L_E,g_bw,M_w,c_pv,M_N2,g_swmeas,GPRll_R_ll,c_pmol,h_cmeas,k_a,F_in_molw,lin_E_l,P_wa,rho_a,PS_T_l,R_ll,sigm,GPRll_E_l,L_A,PM_H_l,E_lmol,GP_H_l,GPRll_T_l,M_O2,GPRll_H_l,GP_E_l,rs_ball,lin_H_l,alpha_a,PM_E_l,Rll_ball,L_l,F_out_molw,P_wl,Pr,El_ball,F_in_va_n,g_sw,Tlmeas,a_s,E_l,PS_E_l,M_air,v_w,lin_R_ll,Nu,R_mol,T_l
2014-03-25 12:39:34,23.98,23.97,22.56,22.52,22.5,25.93,22.58,21.99,19.92,21.18,16.53,0.9999,-19.32,9.052,4.451,2014-03-25 12:39:35,19.36,-0.1045,16.74,-6.927,-26.0,-0.02004,0.007208,0.03366,2014-03-25 12:39:21,2014-03-25 12:39:28,8.233,0.1577,100.0,2014-03-25 12:38:37,2014-03-25 12:39:35,0.06427,1.266e-05,54.0,"Black leaf, silver perforated alu (35.4-1), varying Tdew",104.20792680022804,0.012318585180857232,289.65179670132426,-291.6483946823719,-152.72248559295542,305.4449711859108,0.8885122775434857,0.08890334385347283,1958.5784521765252,297.13,0.006730913778098308,2.4463769999999996e-05,-314.76238913333646,2.0,1.0,0.622,22.707928927266988,1.1716177485916137,1010.0,101325.0,373.53425925925933,1.5315699999999996e-05,295.72999999999996,0.0,3000.0,273.15,2450000.0,295.72999999999996,0.012922243602004424,0.0084701646090535,101325.0,23.666999999999998,289.1558035332053,0.00016428029497644886,-301.3416885019069,152.72248559295542,273.15,0.6582122183098953,288.79932855608456,0.7497588629262334,0.0,-294.08712363703995,-305.4449711859108,9.81,44000.0,0.020485710500511588,0.018,1864.0,0.028,0.03089887321596939,-78.49433974452693,29.2,24.304720961738795,0.025857931999999997,6.929550302071074e-06,347.35418682513006,218.59899172205974,1.1874887371692626,288.7993285560846,-75.26066923865335,5.67e-08,350.63906847272955,0.0009,-211.59570329442946,0.008539736003187292,-314.7623891333364,288.79932855608456,0.032,-272.14472872820267,314.7623891333364,0.7142857142857143,-276.0468170236135,2.1736359999999995e-05,211.59570329442946,-74.59227341556368,0.03,1.4552698450219225e-05,1802.1735720612603,0.71,366.2406680979175,0.00015086666666666666,0.035,289.67999999999995,1.0,376.6023577405596,314.7623891333364,0.02897,0.9999,-71.30736980151744,26.345411837961738,8.314472,289.09483548396025
2014-03-25 13:01:40,23.97,23.97,22.57,22.58,22.54,26.05,22.58,22.0,20.0,21.22,16.68,1.02,-14.97,8.49,4.18,2014-03-25 13:01:41,19.36,-0.1045,16.25,-6.859,-25.52,-0.01945,0.007137,0.03303,2014-03-25 13:01:22,2014-03-25 13:01:29,7.859,0.3323,100.0,2014-03-25 13:00:39,2014-03-25 13:01:38,0.06428,2.267e-05,55.0,varying Tdew,152.92356424381728,0.011996350834571515,289.7788530176408,-287.83980732493364,-150.53437959684234,301.0687591936846,0.8885122775434857,0.10949562079583804,1997.949816201676,297.12,0.0063130201034086,2.4463769999999996e-05,-310.2721290644122,2.0,1.0,0.622,22.879590927304946,1.1600164299039297,1010.0,101325.0,356.56574074074075,1.5315699999999996e-05,295.72999999999996,0.0,3000.0,273.15,2450000.0,295.72999999999996,0.012985227493796082,0.008085390946502059,101325.0,23.109,289.305902230312,0.0001541498371863712,-296.8412007499719,150.53437959684234,273.15,0.6516946235415335,288.949456369429,0.7564494009926483,0.0,-276.9760122755799,-301.0687591936846,9.81,44000.0,0.020644454179791612,0.018,1864.0,0.028,0.028637275162293235,-76.8527623250999,29.2,23.472543413184827,0.025857931999999997,9.542252856391118e-06,342.1364062415085,269.23208134219345,1.1872655168872073,288.9494563694291,-73.6359320597985,5.67e-08,345.3476137362588,0.0009,-208.66100427857023,0.008400842013826928,-310.2721290644121,288.949456369429,0.032,-268.49485141115883,310.2721290644122,0.7142857142857143,-272.3196170092825,2.1736359999999995e-05,208.66100427857023,-72.94493110790825,0.03,1.681910470824297e-05,1819.1871104017976,0.71,360.78473843282075,0.00014150000000000002,0.035,289.83,1.0,370.47713280976757,310.2721290644122,0.02897,1.02,-69.81678923222665,26.54457161613498,8.314472,289.24296966599786
2014-03-25 14:07:31,23.91,23.91,22.58,22.59,22.59,26.1,22.57,22.04,20.1,21.26,16.88,1.021,-10.08,8.556,4.293,2014-03-25 14:07:31,19.53,-0.09854,15.18,-6.506,-24.44,-0.01817,0.006771,0.03163,2014-03-25 14:07:11,2014-03-25 14:07:18,7.807,0.1403,100.0,2014-03-25 14:06:32,2014-03-25 14:07:31,0.06429,1.291e-05,54.0,varying Tdew,231.5648681140958,0.012316028856597843,289.9588162987064,-278.12216297995656,-145.78608933844157,291.57217867688314,0.888512436289667,0.14073638347545683,2000.0261185258705,297.06,0.006362096584777852,2.4462279999999993e-05,-300.53308410777345,2.0,1.0,0.622,22.88799377626538,1.1594482121721128,1010.0,101325.0,354.20648148148155,1.5314799999999998e-05,295.71999999999997,0.0,3000.0,273.15,2450000.0,295.72999999999996,0.012990279527833737,0.008031893004115227,101325.0,21.686,289.5158241374374,0.00015543762639797458,-286.8804079180518,145.78608933844157,273.15,0.6513754000966926,289.15470015228186,0.7660233838155945,0.0,-269.6300994106652,-291.57217867688314,9.81,44000.0,0.020657226612630027,0.018,1864.0,0.028,0.030501015141913473,-74.60437359389617,29.2,23.693330352431044,0.025857247999999996,1.45730338934595e-05,331.42253379957896,346.0363794156921,1.1869670554564369,289.1547001522819,-71.32858583362213,5.67e-08,334.5734629166923,0.0009,-202.10539901215535,0.008122652919539059,-300.53308410777345,289.15470015228186,0.032,-259.9690893227961,300.53308410777345,0.7142857142857143,-263.72387339825815,2.173503999999999e-05,202.10539901215535,-70.6367209288004,0.03,2.1801737597163205e-05,1843.548987148945,0.71,348.7588839087828,0.0001426,0.035,290.03,1.0,358.20899375167255,300.5330841077734,0.02897,1.021,-67.69866040132143,26.555022919993707,8.314472,289.4529498879988
2014-03-25 16:30:31,24.25,24.24,22.76,22.68,22.67,26.14,22.77,22.26,20.43,21.52,17.38,1.028,-5.017,7.524,3.821,2014-03-25 16:30:34,19.81,-0.08857,14.46,-6.187,-22.65,-0.0173,0.006439,0.02931,2014-03-25 16:30:18,2014-03-25 16:30:25,7.44,0.07817,100.0,2014-03-25 16:29:33,2014-03-25 16:30:32,0.06417,1.307e-05,54.0,varying Tdew,349.8073052275012,0.01225949996713728,290.3902773824401,-267.17305545097406,-139.58737341726666,279.1747468345334,0.8885092650358809,0.19247090405453002,2011.3743086716065,297.4,0.00559471887609497,2.4492079999999997e-05,-287.7809388607234,2.0,1.0,0.622,22.949285146112388,1.1554939314773287,1010.0,101325.0,337.5555555555556,1.5332799999999997e-05,295.91999999999996,0.0,3000.0,273.15,2450000.0,295.72999999999996,0.0130215536137173,0.007654320987654322,101325.0,20.647000000000002,289.9803962554283,0.00013700588349273735,-275.52377642904503,139.58737341726666,273.15,0.6491538940883869,289.6500674720695,0.7875667014949037,0.0,-265.56707823432345,-279.1747468345334,9.81,44000.0,0.02073642369756186,0.018,1864.0,0.028,0.02998943882512335,-69.15800501791438,29.2,24.635164956801866,0.025870927999999994,1.9381726157909414e-05,316.573102516327,473.5589834871125,1.1856030005919287,289.6500674720695,-66.21029134750552,5.67e-08,319.50488358676847,0.0009,-193.20067814268805,0.007749071831667674,-287.78093886072344,289.6500674720695,0.032,-250.3468785688541,287.7809388607235,0.7142857142857143,-253.80636225857842,2.1761439999999994e-05,193.20067814268805,-65.51060642869732,0.03,2.6270615046798303e-05,1898.4356347178204,0.71,332.68366187967774,0.0001254,0.035,290.53,1.0,341.73406777654446,287.78093886072344,0.02897,1.028,-62.766740257747074,26.612054827850464,8.314472,289.9171163660468
2014-03-25 16:48:46,24.28,24.23,22.73,22.73,22.72,26.02,22.75,22.25,20.57,21.61,17.81,1.019,0.08945,6.557,3.387,2014-03-25 16:48:48,19.92,-0.08459,13.34,-5.753,-20.79,-0.01596,0.005988,0.0269,2014-03-25 16:48:26,2014-03-25 16:48:33,6.759,0.2183,100.0,2014-03-25 16:47:46,2014-03-25 16:48:45,0.06423,2.734e-05,55.0,varying Tdew,521.590461932116,0.012121520032537613,290.8022425486879,-243.94261961968004,-128.26391458037475,256.5278291607495,0.8885095818139496,0.2642614373364854,1993.9990868175591,297.42999999999995,0.004875674065730292,2.44891e-05,-264.53737409114166,2.0,1.0,0.622,22.87271891104461,1.1605854838650163,1010.0,101325.0,306.65833333333336,1.5330999999999996e-05,295.9,0.0,3000.0,273.15,2450000.0,295.72999999999996,0.012999048003109233,0.006953703703703705,101325.0,19.093,290.4529424498498,0.00011961313968256338,-251.97965476108402,128.26391458037475,273.15,0.6520143167780991,290.1171856542292,0.8101435868240222,0.0,-246.29231868958536,-256.5278291607495,9.81,44000.0,0.020679408789816018,0.018,1864.0,0.028,0.029290620036816938,-63.996561756535286,29.2,24.92837233700258,0.025869559999999996,2.522836380067393e-05,291.11136087681774,650.1497997063914,1.1849050676143422,290.1171856542292,-60.95166373552149,5.67e-08,293.9032653002148,0.0009,-177.53118490136518,0.007095948265228939,-264.5373740911416,290.1171856542292,0.032,-229.90670354367955,264.53737409114154,0.7142857142857143,-233.19914652108844,2.1758799999999992e-05,177.53118490136518,-60.2711689218454,0.03,3.148669713400726e-05,1956.0541384885375,0.71,304.2137885415267,0.00010928333333333334,0.035,290.96,1.0,312.9313184965963,264.53737409114166,0.02897,1.019,-57.912214355728786,26.524670977447563,8.314472,290.39169869701385
2014-03-25 17:08:19,24.24,24.21,22.75,22.67,22.68,26.02,22.74,22.34,20.86,21.74,18.41,1.026,5.12,5.555,2.939,2014-03-25 17:08:22,20.11,-0.07734,11.71,-5.082,-18.5,-0.01401,0.00529,0.02393,2014-03-25 17:08:08,2014-03-25 17:08:15,5.926,0.1492,100.0,2014-03-25 17:07:21,2014-03-25 17:08:20,0.06411,1.511e-05,55.0,varying Tdew,761.3779748779342,0.012075912293597888,291.38568180663776,-214.6671554348959,-113.51113519100316,227.02227038200624,0.8885097402318968,0.3633030428436752,2007.8146913588305,297.39,0.004130603848578889,2.4487609999999996e-05,-234.22321523501327,2.0,1.0,0.622,22.932053141297526,1.156619595583997,1010.0,101325.0,268.8648148148148,1.5330099999999997e-05,295.89,0.0,3000.0,273.15,2450000.0,295.72999999999996,0.013027359051883146,0.006096707818930042,101325.0,16.792,291.11302142326696,0.00010156256820253628,-221.79471857860335,113.51113519100316,273.15,0.6497862896539309,290.7831041239127,0.8426074384575664,0.0,-213.88955489171545,-227.02227038200624,9.81,44000.0,0.020751149936529933,0.018,1864.0,0.028,0.028885556446859608,-56.59523684994292,29.2,24.698562920521507,0.025868876,3.127324503554921e-05,257.6368526450415,893.786927235111,1.1838715988818131,290.78310412391266,-53.56878856664969,5.67e-08,260.17996228928456,0.0009,-157.1590832312707,0.0062440704568080055,-234.22321523501327,290.7831041239127,0.032,-203.58472543934172,234.22321523501324,0.7142857142857143,-206.58652835098937,2.1757479999999995e-05,157.1590832312707,-52.90949695393272,0.03,3.676028207258624e-05,2039.0772039615836,0.71,267.5766523888288,9.258333333333334e-05,0.035,291.56,1.0,275.36350714523303,234.22321523501324,0.02897,1.026,-51.05032429405238,26.59418191338989,8.314472,291.05408938153073
2014-03-25 17:33:07,24.16,24.14,22.79,22.74,22.69,26.06,22.8,22.46,21.25,21.97,19.27,1.016,10.21,4.554,2.509,2014-03-25 17:33:08,20.48,-0.06401,9.708,-4.205,-15.42,-0.01162,0.004379,0.01994,2014-03-25 17:32:52,2014-03-25 17:32:59,5.07,0.1435,100.0,2014-03-25 17:32:06,2014-03-25 17:33:05,0.06434,2.586e-05,55.0,varying Tdew,1100.2175587945433,0.01271306018448704,292.2481704592827,-173.8751102502938,-92.63222783213267,185.26445566426534,0.8885087900132874,0.5028974755098489,1987.545238172867,297.31,0.0033862772144785344,2.449655e-05,-191.2664667673139,2.0,1.0,0.622,22.84767097932196,1.162297683690289,1010.0,101325.0,230.0277777777778,1.53355e-05,295.95,0.0,3000.0,273.15,2450000.0,295.72999999999996,0.013009346681907985,0.00521604938271605,101325.0,13.913,292.0617700882078,8.352021010432675e-05,-180.07480319199385,92.63222783213267,273.15,0.6529762267922972,291.76431151252973,0.8914349192193722,0.0,-171.30279006249634,-185.26445566426534,9.81,44000.0,0.02070548461114502,0.018,1864.0,0.028,0.03293494663927979,-45.59659803083949,29.2,24.263851283639504,0.025872979999999997,3.717285844447425e-05,210.0980945144605,1237.463719434258,1.18211758229631,291.76431151252973,-42.83386401967721,5.67e-08,212.23915666679275,0.0009,-128.1638687372892,0.0050546183041195,-191.26646676731391,291.76431151252973,0.032,-166.6425586359532,191.26646676731391,0.7142857142857143,-169.15636673568923,2.1765399999999993e-05,128.1638687372892,-42.240302895743184,0.03,4.186730288891869e-05,2164.317133099823,0.71,216.11541314603863,7.59e-05,0.035,292.41999999999996,1.0,222.90866721166987,191.2664667673139,0.02897,1.016,-40.9417277787708,26.492121486572433,8.314472,292.0092306464197
2014-03-25 18:20:04,23.97,23.93,22.78,22.77,22.75,26.06,22.79,22.53,21.71,22.21,20.36,1.04,15.16,3.047,1.719,2014-03-25 18:20:06,20.9,-0.04869,6.99,-2.973,-10.52,-0.008364,0.003099,0.0136,2014-03-25 18:19:53,2014-03-25 18:20:00,3.535,0.2791,100.0,2014-03-25 18:19:05,2014-03-25 18:20:04,0.06408,2.733e-05,55.0,varying Tdew,1553.0638005094759,0.01278697494613107,293.35003954571,-121.35343250414553,-65.09805689223039,130.19611378446078,0.8885089483348885,0.6887747997414302,2034.6145318430217,297.12,0.002265697556547232,2.4495060000000003e-05,-134.53246981008652,2.0,1.0,0.622,23.050816649104647,1.1488082788431067,1010.0,101325.0,160.38425925925927,1.53346e-05,295.94,0.0,3000.0,273.15,2450000.0,295.72999999999996,0.013095482237168221,0.003636831275720165,101325.0,9.963000000000001,293.2577653546485,5.6099642988855626e-05,-125.58860760582138,65.09805689223039,273.15,0.6453979094624195,293.0218285560544,0.9566658208295296,0.0,-123.5583008476257,-130.19611378446078,9.81,44000.0,0.02092453635654173,0.018,1864.0,0.028,0.03287981603533059,-31.33756221748796,29.2,25.42351869292703,0.025872296,3.5268162491510775e-05,147.3844258208723,1694.7888329524903,1.180142800809855,293.0218285560544,-29.121341363859756,5.67e-08,148.92509039964702,0.0009,-90.13397711737633,0.0035081621081560627,-134.5324698100865,293.0218285560544,0.032,-117.58752818215906,134.5324698100865,0.7142857142857143,-119.40140712054283,2.1764079999999996e-05,90.13397711737633,-28.641728216387946,0.03,3.854131063965892e-05,2332.288918286341,0.71,149.99516072053513,5.078333333333334e-05,0.035,293.51,1.0,154.7099489696824,134.53246981008652,0.02897,1.04,-27.983018700329055,26.728377700732064,8.314472,293.2158317087499
